timestamp,uuid,screenOn,timezone,utc_date_time,local_date_time,local_date,local_time,local_hour,local_minute
1483887562,3f1d7407-83b5-4fec-8379-6f829b9cf56d,true,Europe/London,2017-01-08 14:59:22,2017-01-08 14:59:22,2017-01-08,14:59:22,14,59
1484036065,3f1d7407-83b5-4fec-8379-6f829b9cf56d,true,Europe/London,2017-01-10 08:14:25,2017-01-10 08:14:25,2017-01-10,08:14:25,8,14
1484036090,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 08:14:50,2017-01-10 08:14:50,2017-01-10,08:14:50,8,14
1484036210,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 08:16:50,2017-01-10 08:16:50,2017-01-10,08:16:50,8,16
1484036315,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 08:18:35,2017-01-10 08:18:35,2017-01-10,08:18:35,8,18
1484036435,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 08:20:35,2017-01-10 08:20:35,2017-01-10,08:20:35,8,20
1484036450,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 08:20:50,2017-01-10 08:20:50,2017-01-10,08:20:50,8,20
1484036555,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 08:22:35,2017-01-10 08:22:35,2017-01-10,08:22:35,8,22
1484036595,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 08:23:15,2017-01-10 08:23:15,2017-01-10,08:23:15,8,23
1484036690,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 08:24:50,2017-01-10 08:24:50,2017-01-10,08:24:50,8,24
1484036810,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 08:26:50,2017-01-10 08:26:50,2017-01-10,08:26:50,8,26
1484036915,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 08:28:35,2017-01-10 08:28:35,2017-01-10,08:28:35,8,28
1484037015,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 08:30:15,2017-01-10 08:30:15,2017-01-10,08:30:15,8,30
1484037095,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 08:31:35,2017-01-10 08:31:35,2017-01-10,08:31:35,8,31
1484037195,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 08:33:15,2017-01-10 08:33:15,2017-01-10,08:33:15,8,33
1484037290,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 08:34:50,2017-01-10 08:34:50,2017-01-10,08:34:50,8,34
1484037410,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 08:36:50,2017-01-10 08:36:50,2017-01-10,08:36:50,8,36
1484037515,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 08:38:35,2017-01-10 08:38:35,2017-01-10,08:38:35,8,38
1484037615,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 08:40:15,2017-01-10 08:40:15,2017-01-10,08:40:15,8,40
1484037735,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 08:42:15,2017-01-10 08:42:15,2017-01-10,08:42:15,8,42
1484037975,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 08:46:15,2017-01-10 08:46:15,2017-01-10,08:46:15,8,46
1484037995,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 08:46:35,2017-01-10 08:46:35,2017-01-10,08:46:35,8,46
1484038070,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 08:47:50,2017-01-10 08:47:50,2017-01-10,08:47:50,8,47
1484038215,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 08:50:15,2017-01-10 08:50:15,2017-01-10,08:50:15,8,50
1484038310,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 08:51:50,2017-01-10 08:51:50,2017-01-10,08:51:50,8,51
1484038430,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 08:53:50,2017-01-10 08:53:50,2017-01-10,08:53:50,8,53
1484038515,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 08:55:15,2017-01-10 08:55:15,2017-01-10,08:55:15,8,55
1484038730,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 08:58:50,2017-01-10 08:58:50,2017-01-10,08:58:50,8,58
1484038895,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 09:01:35,2017-01-10 09:01:35,2017-01-10,09:01:35,9,1
1484039030,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 09:03:50,2017-01-10 09:03:50,2017-01-10,09:03:50,9,3
1484039355,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 09:09:15,2017-01-10 09:09:15,2017-01-10,09:09:15,9,9
1484039615,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 09:13:35,2017-01-10 09:13:35,2017-01-10,09:13:35,9,13
1484039895,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 09:18:15,2017-01-10 09:18:15,2017-01-10,09:18:15,9,18
1484039990,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 09:19:50,2017-01-10 09:19:50,2017-01-10,09:19:50,9,19
1484040315,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 09:25:15,2017-01-10 09:25:15,2017-01-10,09:25:15,9,25
1484040755,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 09:32:35,2017-01-10 09:32:35,2017-01-10,09:32:35,9,32
1484041355,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 09:42:35,2017-01-10 09:42:35,2017-01-10,09:42:35,9,42
1484042166,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 09:56:06,2017-01-10 09:56:06,2017-01-10,09:56:06,9,56
1484042457,3f1d7407-83b5-4fec-8379-6f829b9cf56d,true,Europe/London,2017-01-10 10:00:57,2017-01-10 10:00:57,2017-01-10,10:00:57,10,0
1484073395,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-10 18:36:35,2017-01-10 18:36:35,2017-01-10,18:36:35,18,36
1484073472,3f1d7407-83b5-4fec-8379-6f829b9cf56d,true,Europe/London,2017-01-10 18:37:52,2017-01-10 18:37:52,2017-01-10,18:37:52,18,37
1484073532,3f1d7407-83b5-4fec-8379-6f829b9cf56d,true,Europe/London,2017-01-10 18:38:52,2017-01-10 18:38:52,2017-01-10,18:38:52,18,38
1484073559,3f1d7407-83b5-4fec-8379-6f829b9cf56d,true,Europe/London,2017-01-10 18:39:19,2017-01-10 18:39:19,2017-01-10,18:39:19,18,39
1484073712,3f1d7407-83b5-4fec-8379-6f829b9cf56d,true,Europe/London,2017-01-10 18:41:52,2017-01-10 18:41:52,2017-01-10,18:41:52,18,41
1484073892,3f1d7407-83b5-4fec-8379-6f829b9cf56d,true,Europe/London,2017-01-10 18:44:52,2017-01-10 18:44:52,2017-01-10,18:44:52,18,44
1484083009,3f1d7407-83b5-4fec-8379-6f829b9cf56d,true,Europe/London,2017-01-10 21:16:49,2017-01-10 21:16:49,2017-01-10,21:16:49,21,16
1484083111,3f1d7407-83b5-4fec-8379-6f829b9cf56d,true,Europe/London,2017-01-10 21:18:31,2017-01-10 21:18:31,2017-01-10,21:18:31,21,18
1484083201,3f1d7407-83b5-4fec-8379-6f829b9cf56d,true,Europe/London,2017-01-10 21:20:01,2017-01-10 21:20:01,2017-01-10,21:20:01,21,20
1484083222,3f1d7407-83b5-4fec-8379-6f829b9cf56d,true,Europe/London,2017-01-10 21:20:22,2017-01-10 21:20:22,2017-01-10,21:20:22,21,20
1484146943,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-11 15:02:23,2017-01-11 15:02:23,2017-01-11,15:02:23,15,2
1484147003,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-11 15:03:23,2017-01-11 15:03:23,2017-01-11,15:03:23,15,3
1484147073,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-11 15:04:33,2017-01-11 15:04:33,2017-01-11,15:04:33,15,4
1484147183,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-11 15:06:23,2017-01-11 15:06:23,2017-01-11,15:06:23,15,6
1484147253,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-11 15:07:33,2017-01-11 15:07:33,2017-01-11,15:07:33,15,7
1484147343,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-11 15:09:03,2017-01-11 15:09:03,2017-01-11,15:09:03,15,9
1484147433,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-11 15:10:33,2017-01-11 15:10:33,2017-01-11,15:10:33,15,10
1484147523,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-11 15:12:03,2017-01-11 15:12:03,2017-01-11,15:12:03,15,12
1484147603,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-11 15:13:23,2017-01-11 15:13:23,2017-01-11,15:13:23,15,13
1484147703,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-11 15:15:03,2017-01-11 15:15:03,2017-01-11,15:15:03,15,15
1484147783,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-11 15:16:23,2017-01-11 15:16:23,2017-01-11,15:16:23,15,16
1484147853,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-11 15:17:33,2017-01-11 15:17:33,2017-01-11,15:17:33,15,17
1484147963,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-11 15:19:23,2017-01-11 15:19:23,2017-01-11,15:19:23,15,19
1484148033,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-11 15:20:33,2017-01-11 15:20:33,2017-01-11,15:20:33,15,20
1484148143,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-11 15:22:23,2017-01-11 15:22:23,2017-01-11,15:22:23,15,22
1484148213,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-11 15:23:33,2017-01-11 15:23:33,2017-01-11,15:23:33,15,23
1484148303,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-11 15:25:03,2017-01-11 15:25:03,2017-01-11,15:25:03,15,25
1484148393,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-11 15:26:33,2017-01-11 15:26:33,2017-01-11,15:26:33,15,26
1484148483,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-11 15:28:03,2017-01-11 15:28:03,2017-01-11,15:28:03,15,28
1484148563,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-11 15:29:23,2017-01-11 15:29:23,2017-01-11,15:29:23,15,29
1484148604,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-11 15:30:04,2017-01-11 15:30:04,2017-01-11,15:30:04,15,30
1484148623,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-11 15:30:23,2017-01-11 15:30:23,2017-01-11,15:30:23,15,30
1484176427,3f1d7407-83b5-4fec-8379-6f829b9cf56d,true,Europe/London,2017-01-11 23:13:47,2017-01-11 23:13:47,2017-01-11,23:13:47,23,13
1484176447,3f1d7407-83b5-4fec-8379-6f829b9cf56d,true,Europe/London,2017-01-11 23:14:07,2017-01-11 23:14:07,2017-01-11,23:14:07,23,14
1484176587,3f1d7407-83b5-4fec-8379-6f829b9cf56d,true,Europe/London,2017-01-11 23:16:27,2017-01-11 23:16:27,2017-01-11,23:16:27,23,16
1484325028,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:30:28,2017-01-13 16:30:28,2017-01-13,16:30:28,16,30
1484325080,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:31:20,2017-01-13 16:31:20,2017-01-13,16:31:20,16,31
1484325200,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:33:20,2017-01-13 16:33:20,2017-01-13,16:33:20,16,33
1484325280,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:34:40,2017-01-13 16:34:40,2017-01-13,16:34:40,16,34
1484325380,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:36:20,2017-01-13 16:36:20,2017-01-13,16:36:20,16,36
1484325470,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:37:50,2017-01-13 16:37:50,2017-01-13,16:37:50,16,37
1484325580,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:39:40,2017-01-13 16:39:40,2017-01-13,16:39:40,16,39
1484325680,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:41:20,2017-01-13 16:41:20,2017-01-13,16:41:20,16,41
1484325770,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:42:50,2017-01-13 16:42:50,2017-01-13,16:42:50,16,42
1484325890,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:44:50,2017-01-13 16:44:50,2017-01-13,16:44:50,16,44
1484325980,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:46:20,2017-01-13 16:46:20,2017-01-13,16:46:20,16,46
1484326070,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:47:50,2017-01-13 16:47:50,2017-01-13,16:47:50,16,47
1484326180,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:49:40,2017-01-13 16:49:40,2017-01-13,16:49:40,16,49
1484326280,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:51:20,2017-01-13 16:51:20,2017-01-13,16:51:20,16,51
1484326354,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:52:34,2017-01-13 16:52:34,2017-01-13,16:52:34,16,52
1484326460,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:54:20,2017-01-13 16:54:20,2017-01-13,16:54:20,16,54
1484326550,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:55:50,2017-01-13 16:55:50,2017-01-13,16:55:50,16,55
1484326660,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:57:40,2017-01-13 16:57:40,2017-01-13,16:57:40,16,57
1484326760,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 16:59:20,2017-01-13 16:59:20,2017-01-13,16:59:20,16,59
1484326850,3f1d7407-83b5-4fec-8379-6f829b9cf56d,true,Europe/London,2017-01-13 17:00:50,2017-01-13 17:00:50,2017-01-13,17:00:50,17,0
1484326852,3f1d7407-83b5-4fec-8379-6f829b9cf56d,true,Europe/London,2017-01-13 17:00:52,2017-01-13 17:00:52,2017-01-13,17:00:52,17,0
1484326919,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-13 17:01:59,2017-01-13 17:01:59,2017-01-13,17:01:59,17,1
1484419827,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-14 18:50:27,2017-01-14 18:50:27,2017-01-14,18:50:27,18,50
1484682759,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-17 19:52:39,2017-01-17 19:52:39,2017-01-17,19:52:39,19,52
1484683886,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-17 20:11:26,2017-01-17 20:11:26,2017-01-17,20:11:26,20,11
1484684270,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-17 20:17:50,2017-01-17 20:17:50,2017-01-17,20:17:50,20,17
1484684429,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-17 20:20:29,2017-01-17 20:20:29,2017-01-17,20:20:29,20,20
1484687370,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-17 21:09:30,2017-01-17 21:09:30,2017-01-17,21:09:30,21,9
1484688768,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-17 21:32:48,2017-01-17 21:32:48,2017-01-17,21:32:48,21,32
1484689960,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-17 21:52:40,2017-01-17 21:52:40,2017-01-17,21:52:40,21,52
1484691071,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-17 22:11:11,2017-01-17 22:11:11,2017-01-17,22:11:11,22,11
1484691632,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-17 22:20:32,2017-01-17 22:20:32,2017-01-17,22:20:32,22,20
1484730361,3f1d7407-83b5-4fec-8379-6f829b9cf56d,true,Europe/London,2017-01-18 09:06:01,2017-01-18 09:06:01,2017-01-18,09:06:01,9,6
1484730417,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:06:57,2017-01-18 09:06:57,2017-01-18,09:06:57,9,6
1484730497,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:08:17,2017-01-18 09:08:17,2017-01-18,09:08:17,9,8
1484730568,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:09:28,2017-01-18 09:09:28,2017-01-18,09:09:28,9,9
1484730677,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:11:17,2017-01-18 09:11:17,2017-01-18,09:11:17,9,11
1484730748,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:12:28,2017-01-18 09:12:28,2017-01-18,09:12:28,9,12
1484730857,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:14:17,2017-01-18 09:14:17,2017-01-18,09:14:17,9,14
1484730928,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:15:28,2017-01-18 09:15:28,2017-01-18,09:15:28,9,15
1484731037,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:17:17,2017-01-18 09:17:17,2017-01-18,09:17:17,9,17
1484731137,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:18:57,2017-01-18 09:18:57,2017-01-18,09:18:57,9,18
1484731217,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:20:17,2017-01-18 09:20:17,2017-01-18,09:20:17,9,20
1484731317,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:21:57,2017-01-18 09:21:57,2017-01-18,09:21:57,9,21
